id;message_id;executed_sql;bq_result;created_at
404804a6-b1a7-48e3-916e-b77a1d20a8b0;e026fcbe-cb9f-4903-bf81-c115e7105e29;SELECT branch, ROUND(SAFE_DIVIDE(COUNT(DISTINCT CASE WHEN admission_date IS NOT NULL THEN contact END), COUNT(DISTINCT CASE WHEN attendance_status IN ('present','present_early','present_late') THEN contact END)) * 100, 2) AS ata_percentage, COUNT(DISTINCT CASE WHEN attendance_status IN ('present','present_early','present_late') THEN contact END) AS attendance_count, COUNT(DISTINCT CASE WHEN admission_date IS NOT NULL THEN contact END) AS admission_count FROM `tenms-userdb.Marketing_Leads.offline_leads_api` GROUP BY branch ORDER BY ata_percentage DESC;"{""schema"":{""fields"":[{""name"":""branch"",""type"":""STRING"",""mode"":""NULLABLE""},{""name"":""ata_percentage"",""type"":""FLOAT"",""mode"":""NULLABLE""},{""name"":""attendance_count"",""type"":""INTEGER"",""mode"":""NULLABLE""},{""name"":""admission_count"",""type"":""INTEGER"",""mode"":""NULLABLE""}]},""rows"":[{""f"":[{""v"":""Uttara Branch""},{""v"":""29.33""},{""v"":""3597""},{""v"":""1055""}]},{""f"":[{""v"":""Panthapath Branch""},{""v"":""23.51""},{""v"":""3497""},{""v"":""822""}]},{""f"":[{""v"":""Moghbazar Branch""},{""v"":""22.61""},{""v"":""3477""},{""v"":""786""}]},{""f"":[{""v"":""Mirpur Branch""},{""v"":""16.46""},{""v"":""5013""},{""v"":""825""}]},{""f"":[{""v"":""Chawkbazar Branch""},{""v"":""13.98""},{""v"":""2489""},{""v"":""348""}]},{""f"":[{""v"":null},{""v"":null},{""v"":""0""},{""v"":""79""}]},{""f"":[{""v"":""\u003ctest lead: dummy data for কোন Branch এ ক্লাস করতে চাও ?\u003e""},{""v"":null},{""v"":""0""},{""v"":""0""}]},{""f"":[{""v"":""\u003ctest lead: dummy data for আপনি কোন প্রোগ্রামের জন্য ফ্রি ক্লাসে জয়েন করতে চান?\u003e""},{""v"":null},{""v"":""0""},{""v"":""0""}]}],""jobComplete"":true}";2026-03-17 20:05:47.199673+00
dfb90ddc-17bf-49a1-9b1b-ce96aff48e58;f523b247-75f5-4c9e-a8a4-48beb6e6141e;SELECT COUNT(DISTINCT Mobile_Number) AS admissions FROM `tenms-userdb.english_centre.offline_admissions_gsheet_v3` WHERE Email_Address = 'jogodish@10minuteschool.com' AND admission_date BETWEEN DATE_TRUNC(CURRENT_DATE(), MONTH) AND CURRENT_DATE();"{""schema"":{""fields"":[{""name"":""admissions"",""type"":""INTEGER"",""mode"":""NULLABLE""}]},""rows"":[{""f"":[{""v"":""0""}]}],""jobComplete"":true}";2026-03-17 20:48:34.815468+00
cd2bccaa-8eba-4530-b29d-459f7093fb2e;72fcc956-9375-4c39-8b60-4c42f30b1ff3;SELECT lead_source, COUNT(DISTINCT contact) AS registrations, COUNT(DISTINCT CASE WHEN attendance_status IN ('present','present_early','present_late') THEN contact END) AS attendance, ROUND(100 * SAFE_DIVIDE(COUNT(DISTINCT CASE WHEN attendance_status IN ('present','present_early','present_late') THEN contact END), COUNT(DISTINCT contact)), 2) AS rta_percentage FROM `tenms-userdb.Marketing_Leads.offline_leads_api` WHERE lead_source IS NOT NULL AND lead_source NOT IN ('IELTS Mock Test','Study Abroad') GROUP BY lead_source HAVING COUNT(DISTINCT contact) >= 20 ORDER BY rta_percentage ASC, registrations DESC;"{""schema"":{""fields"":[{""name"":""lead_source"",""type"":""STRING"",""mode"":""NULLABLE""},{""name"":""registrations"",""type"":""INTEGER"",""mode"":""NULLABLE""},{""name"":""attendance"",""type"":""INTEGER"",""mode"":""NULLABLE""},{""name"":""rta_percentage"",""type"":""FLOAT"",""mode"":""NULLABLE""}]},""rows"":[{""f"":[{""v"":""Spoken English LIVE Course""},{""v"":""5765""},{""v"":""0""},{""v"":""0.0""}]},{""f"":[{""v"":""Free Class Social (Manual)""},{""v"":""3018""},{""v"":""0""},{""v"":""0.0""}]},{""f"":[{""v"":""Kids English December""},{""v"":""1013""},{""v"":""0""},{""v"":""0.0""}]},{""f"":[{""v"":""Offline Centre Outbound""},{""v"":""13950""},{""v"":""7""},{""v"":""0.05""}]},{""f"":[{""v"":""Spoken English December""},{""v"":""1179""},{""v"":""4""},{""v"":""0.34""}]},{""f"":[{""v"":""Offline Centre Static""},{""v"":""6696""},{""v"":""44""},{""v"":""0.66""}]},{""f"":[{""v"":""School Activation""},{""v"":""2237""},{""v"":""17""},{""v"":""0.76""}]},{""f"":[{""v"":""Free Class MPB""},{""v"":""2883""},{""v"":""27""},{""v"":""0.94""}]},{""f"":[{""v"":""Free Class Activation""},{""v"":""5531""},{""v"":""72""},{""v"":""1.3""}]},{""f"":[{""v"":""Offline Centre Activation""},{""v"":""9493""},{""v"":""198""},{""v"":""2.09""}]},{""f"":[{""v"":""Offline Centre May""},{""v"":""8249""},{""v"":""259""},{""v"":""3.14""}]},{""f"":[{""v"":""Offline Centre March""},{""v"":""9501""},{""v"":""299""},{""v"":""3.15""}]},{""f"":[{""v"":""Spoken English January 26""},{""v"":""31""},{""v"":""1""},{""v"":""3.23""}]},{""f"":[{""v"":""Offline Centre January""},{""v"":""15184""},{""v"":""502""},{""v"":""3.31""}]},{""f"":[{""v"":""Offline Centre December""},{""v"":""6790""},{""v"":""243""},{""v"":""3.58""}]},{""f"":[{""v"":""Offline Centre February""},{""v"":""10270""},{""v"":""458""},{""v"":""4.46""}]},{""f"":[{""v"":""Offline Centre April""},{""v"":""6962""},{""v"":""330""},{""v"":""4.74""}]},{""f"":[{""v"":""Offline Centre September""},{""v"":""7777""},{""v"":""405""},{""v"":""5.21""}]},{""f"":[{""v"":""Offline Centre December Instant""},{""v"":""14308""},{""v"":""838""},{""v"":""5.86""}]},{""f"":[{""v"":""Offline Centre October""},{""v"":""11805""},{""v"":""727""},{""v"":""6.16""}]},{""f"":[{""v"":""SSC-HSC English Crash Course""},{""v"":""1338""},{""v"":""83""},{""v"":""6.2""}]},{""f"":[{""v"":""Free Class MPB Facebook""},{""v"":""2023""},{""v"":""129""},{""v"":""6.38""}]},{""f"":[{""v"":""Offline Centre August""},{""v"":""8387""},{""v"":""573""},{""v"":""6.83""}]},{""f"":[{""v"":""Kids English November""},{""v"":""917""},{""v"":""69""},{""v"":""7.52""}]},{""f"":[{""v"":""Offline Centre June""},{""v"":""4713""},{""v"":""363""},{""v"":""7.7""}]},{""f"":[{""v"":""Offline Centre Influencer Marketing""},{""v"":""131""},{""v"":""11""},{""v"":""8.4""}]},{""f"":[{""v"":""Offline Centre January 26""},{""v"":""81""},{""v"":""7""},{""v"":""8.64""}]},{""f"":[{""v"":""Offline Centre July""},{""v"":""5456""},{""v"":""475""},{""v"":""8.71""}]},{""f"":[{""v"":""Offline Centre November""},{""v"":""19231""},{""v"":""1720""},{""v"":""8.94""}]},{""f"":[{""v"":""Kids English September""},{""v"":""852""},{""v"":""78""},{""v"":""9.15""}]},{""f"":[{""v"":""Kids English October""},{""v"":""881""},{""v"":""87""},{""v"":""9.88""}]},{""f"":[{""v"":""Offline Centre PDP""},{""v"":""72386""},{""v"":""7277""},{""v"":""10.05""}]},{""f"":[{""v"":""Offline Centre iHelp""},{""v"":""773""},{""v"":""84""},{""v"":""10.87""}]},{""f"":[{""v"":""Free Class Social""},{""v"":""5171""},{""v"":""586""},{""v"":""11.33""}]},{""f"":[{""v"":""Kids English July & August""},{""v"":""1191""},{""v"":""136""},{""v"":""11.42""}]},{""f"":[{""v"":""Offline Centre Google Form""},{""v"":""26274""},{""v"":""3093""},{""v"":""11.77""}]},{""f"":[{""v"":""Kids English August""},{""v"":""486""},{""v"":""72""},{""v"":""14.81""}]},{""f"":[{""v"":""Free Class MPB Google""},{""v"":""2421""},{""v"":""491""},{""v"":""20.28""}]}],""jobComplete"":true}";2026-03-18 07:16:02.613495+00
cc319a2b-4459-4375-a9c0-f6d82485e33d;2855f226-1ee8-40eb-ba78-ab17c75db6dd;SELECT branch, COUNT(DISTINCT contact) AS registrations FROM `tenms-userdb.Marketing_Leads.offline_leads_api` WHERE submission_date = CURRENT_DATE() GROUP BY branch ORDER BY branch;"{""schema"":{""fields"":[{""name"":""branch"",""type"":""STRING"",""mode"":""NULLABLE""},{""name"":""registrations"",""type"":""INTEGER"",""mode"":""NULLABLE""}]},""rows"":[{""f"":[{""v"":""Chawkbazar Branch""},{""v"":""19""}]},{""f"":[{""v"":""Mirpur Branch""},{""v"":""20""}]},{""f"":[{""v"":""Moghbazar Branch""},{""v"":""11""}]},{""f"":[{""v"":""Panthapath Branch""},{""v"":""11""}]},{""f"":[{""v"":""Uttara Branch""},{""v"":""20""}]}],""jobComplete"":true}";2026-03-18 07:31:08.823872+00
103bf873-9e89-4234-8909-b0b1c150268a;51f0a06c-a5d3-41ec-b611-f9cd1447794b;SELECT COUNT(DISTINCT contact) AS ielts_attendance_this_month FROM `tenms-userdb.Marketing_Leads.offline_leads_api` WHERE programme = 'IELTS Programme' AND attendance_date BETWEEN DATE_TRUNC(CURRENT_DATE(), MONTH) AND CURRENT_DATE();"{""schema"":{""fields"":[{""name"":""ielts_attendance_this_month"",""type"":""INTEGER"",""mode"":""NULLABLE""}]},""rows"":[{""f"":[{""v"":""92""}]}],""jobComplete"":true}";2026-03-18 07:46:40.475618+00
da80e38a-bcea-4347-aa56-b7285e5510ab;3421fad6-6ce2-4b51-b3bd-c25544516a86;WITH daily AS (SELECT branch, submission_date, COUNT(DISTINCT contact) AS regs FROM `tenms-userdb.Marketing_Leads.offline_leads_api` WHERE submission_date BETWEEN DATE_SUB(CURRENT_DATE(), INTERVAL 13 DAY) AND CURRENT_DATE() GROUP BY branch, submission_date), weekly AS (SELECT branch, CASE WHEN submission_date BETWEEN DATE_SUB(CURRENT_DATE(), INTERVAL 6 DAY) AND CURRENT_DATE() THEN 'this_week' WHEN submission_date BETWEEN DATE_SUB(CURRENT_DATE(), INTERVAL 13 DAY) AND DATE_SUB(CURRENT_DATE(), INTERVAL 7 DAY) THEN 'last_week' END AS week_label, SUM(regs) AS weekly_regs FROM daily GROUP BY branch, week_label), pivoted AS (SELECT branch, SUM(CASE WHEN week_label = 'this_week' THEN weekly_regs ELSE 0 END) AS this_week_regs, SUM(CASE WHEN week_label = 'last_week' THEN weekly_regs ELSE 0 END) AS last_week_regs, SUM(CASE WHEN week_label = 'this_week' THEN weekly_regs ELSE 0 END) - SUM(CASE WHEN week_label = 'last_week' THEN weekly_regs ELSE 0 END) AS drop_count FROM weekly GROUP BY branch) SELECT branch, this_week_regs, last_week_regs, drop_count FROM pivoted ORDER BY drop_count ASC;"{""schema"":{""fields"":[{""name"":""branch"",""type"":""STRING"",""mode"":""NULLABLE""},{""name"":""this_week_regs"",""type"":""INTEGER"",""mode"":""NULLABLE""},{""name"":""last_week_regs"",""type"":""INTEGER"",""mode"":""NULLABLE""},{""name"":""drop_count"",""type"":""INTEGER"",""mode"":""NULLABLE""}]},""rows"":[{""f"":[{""v"":""Chawkbazar Branch""},{""v"":""475""},{""v"":""646""},{""v"":""-171""}]},{""f"":[{""v"":""Moghbazar Branch""},{""v"":""167""},{""v"":""269""},{""v"":""-102""}]},{""f"":[{""v"":""Mirpur Branch""},{""v"":""472""},{""v"":""572""},{""v"":""-100""}]},{""f"":[{""v"":""Panthapath Branch""},{""v"":""153""},{""v"":""251""},{""v"":""-98""}]},{""f"":[{""v"":null},{""v"":""220""},{""v"":""315""},{""v"":""-95""}]},{""f"":[{""v"":""Uttara Branch""},{""v"":""635""},{""v"":""716""},{""v"":""-81""}]}],""jobComplete"":true}";2026-03-18 07:59:44.694301+00
7292d818-d030-4542-97c0-7191300a1096;57a15130-a31e-44eb-9b5f-b3306ab9f6e3;SELECT branch, COUNT(DISTINCT contact) AS regs FROM `tenms-userdb.Marketing_Leads.offline_leads_api` WHERE submission_date = CURRENT_DATE() GROUP BY branch ORDER BY branch;"{""schema"":{""fields"":[{""name"":""branch"",""type"":""STRING"",""mode"":""NULLABLE""},{""name"":""regs"",""type"":""INTEGER"",""mode"":""NULLABLE""}]},""rows"":[{""f"":[{""v"":""Chawkbazar Branch""},{""v"":""19""}]},{""f"":[{""v"":""Mirpur Branch""},{""v"":""20""}]},{""f"":[{""v"":""Moghbazar Branch""},{""v"":""11""}]},{""f"":[{""v"":""Panthapath Branch""},{""v"":""11""}]},{""f"":[{""v"":""Uttara Branch""},{""v"":""20""}]}],""jobComplete"":true}";2026-03-18 08:14:04.540798+00
aa60230b-69f3-4f76-9bea-a5512415f91a;0a422d4c-d83b-4672-b868-9a61c60fc7c2;SELECT branch, COUNT(DISTINCT contact) AS registrations FROM `tenms-userdb.Marketing_Leads.offline_leads_api` WHERE submission_date = CURRENT_DATE('Asia/Dhaka') GROUP BY branch ORDER BY registrations DESC;"{""schema"":{""fields"":[{""name"":""branch"",""type"":""STRING"",""mode"":""NULLABLE""},{""name"":""registrations"",""type"":""INTEGER"",""mode"":""NULLABLE""}]},""rows"":[{""f"":[{""v"":""Mirpur Branch""},{""v"":""24""}]},{""f"":[{""v"":""Chawkbazar Branch""},{""v"":""22""}]},{""f"":[{""v"":""Uttara Branch""},{""v"":""22""}]},{""f"":[{""v"":""Panthapath Branch""},{""v"":""13""}]},{""f"":[{""v"":""Moghbazar Branch""},{""v"":""12""}]}],""jobComplete"":true}";2026-03-18 09:21:49.08854+00
955ae714-3667-4525-a7a5-9f62e8a3cf21;a4a29728-e62d-48a0-8c88-18e525c05c70;SELECT branch, COUNT(DISTINCT contact) AS registrations FROM `tenms-userdb.Marketing_Leads.offline_leads_api` WHERE submission_date = CURRENT_DATE() GROUP BY branch ORDER BY registrations DESC;"{""schema"":{""fields"":[{""name"":""branch"",""type"":""STRING"",""mode"":""NULLABLE""},{""name"":""registrations"",""type"":""INTEGER"",""mode"":""NULLABLE""}]},""rows"":[{""f"":[{""v"":""Mirpur Branch""},{""v"":""24""}]},{""f"":[{""v"":""Chawkbazar Branch""},{""v"":""22""}]},{""f"":[{""v"":""Uttara Branch""},{""v"":""22""}]},{""f"":[{""v"":""Panthapath Branch""},{""v"":""13""}]},{""f"":[{""v"":""Moghbazar Branch""},{""v"":""12""}]}],""jobComplete"":true}";2026-03-18 09:24:53.025809+00
e10c48c6-6679-430e-987c-b916640e909d;cbe96a54-350f-4e4b-a385-a809b70a3e6c;SELECT branch, COUNT(DISTINCT contact) AS registrations FROM `tenms-userdb.Marketing_Leads.offline_leads_api` WHERE submission_date = CURRENT_DATE() GROUP BY branch ORDER BY registrations DESC;"{""schema"":{""fields"":[{""name"":""branch"",""type"":""STRING"",""mode"":""NULLABLE""},{""name"":""registrations"",""type"":""INTEGER"",""mode"":""NULLABLE""}]},""rows"":[{""f"":[{""v"":""Mirpur Branch""},{""v"":""24""}]},{""f"":[{""v"":""Chawkbazar Branch""},{""v"":""22""}]},{""f"":[{""v"":""Uttara Branch""},{""v"":""22""}]},{""f"":[{""v"":""Panthapath Branch""},{""v"":""13""}]},{""f"":[{""v"":""Moghbazar Branch""},{""v"":""12""}]}],""jobComplete"":true}";2026-03-18 09:39:20.257505+00
